train/loss,lr,_timestamp,iter,_step,train/step_loss,_runtime,val/loss,Sample Generation
,,1779557927.4450955,680.0,71,3.272703170776367,144.7596485,,
,,1779557928.8874087,690.0,72,3.3112964630126953,146.2009865,,
,,1779557930.3297575,700.0,73,3.307589530944824,147.6398059,,
,,1779557931.7696466,710.0,74,3.3181467056274414,149.0789667,,
,,1779557933.208448,720.0,75,3.3002233505249023,150.5187732,,
,,1779557934.6451123,730.0,76,3.326688289642334,151.9575091,,
,,1779557936.087361,740.0,77,3.322112560272217,153.3977942,,
3.3269596099853516,0.0009614856803571157,1779557953.3899317,750.0,78,,170.7013291,3.3671703338623047,
,,1779557953.52488,750.0,79,3.3229122161865234,170.8349883,,
,,1779557954.871962,760.0,80,3.2792534828186035,172.1817865,,
,,1779557956.2864885,770.0,81,3.3206944465637207,173.5963367,,
,,1779557957.6995244,780.0,82,3.324326992034912,175.0088444,,
,,1779557959.1127198,790.0,83,3.3278393745422363,176.4220399,,
,,1779557960.5245748,800.0,84,3.3006234169006348,177.836615,,
,,1779557961.9392028,810.0,85,3.329338550567627,179.2490279,,
,,1779557963.3499458,820.0,86,3.3122167587280273,180.6598772,,
,,1779557964.7589417,830.0,87,3.2938523292541504,182.0727312,,
,,1779557966.1750464,840.0,88,3.326165199279785,183.4848851,,
,,1779557967.5868948,850.0,89,3.3302712440490723,184.8967191,,
,,1779557969.0017977,860.0,90,3.310818672180176,186.3118366,,
,,1779557970.413333,870.0,91,3.3285670280456543,187.7234077,,
,,1779557971.8192885,880.0,92,3.346378803253174,189.1379039,,
,,1779557973.2417917,890.0,93,3.3072609901428223,190.5521717,,
,,1779557974.6544838,900.0,94,3.3152670860290527,191.9638037,,
,,1779557976.0665016,910.0,95,3.3405160903930664,193.3763253,,
,,1779557977.47736,920.0,96,3.298771381378174,194.788227,,
,,1779557978.889516,930.0,97,3.311180591583252,196.1988362,,
,,1779557980.301193,940.0,98,3.3146328926086426,197.6115126,,
,,1779557981.7123451,950.0,99,3.3280935287475586,199.0226728,,
,,1779557983.122179,960.0,100,3.295738697052002,200.4365634,,
,,1779557984.5402336,970.0,101,3.3254971504211426,201.8501181,,
,,1779557985.9542952,980.0,102,3.2981834411621094,203.2636152,,
,,1779557987.3654454,990.0,103,3.305327892303467,204.6753193,,
3.3201558589935303,0.0009271396472013282,1779558005.1734986,1000.0,104,,222.4834603,3.3619344234466553,
,,1779558005.3139834,1000.0,105,3.306960105895996,222.6233037,,
,,1779558006.6791184,1010.0,106,3.317141532897949,223.9939469,,
,,1779558008.0964677,1020.0,107,3.3209500312805176,225.4062938,,
,,1779558009.5381708,1030.0,108,3.287151336669922,226.8481411,,
,,1779558010.9807684,1040.0,109,3.3065080642700195,228.2900885,,
,,1779558012.4183729,1050.0,110,3.327411651611328,229.7307053,,
,,1779558013.8624573,1060.0,111,3.302670955657959,231.172833,,
,,1779558015.304762,1070.0,112,3.3227553367614746,232.6146248,,
,,1779558016.7457216,1080.0,113,3.301631450653076,234.0558162,,
,,1779558018.1871586,1090.0,114,3.3176465034484863,235.4964787,,
,,1779558019.6284127,1100.0,115,3.2925233840942383,236.938292,,
,,1779558021.070023,1110.0,116,3.330540657043457,238.3798489,,
,,1779558022.5125074,1120.0,117,3.3358330726623535,239.8218274,,
,,1779558023.9525266,1130.0,118,3.3348546028137207,241.2624892,,
,,1779558025.3884363,1140.0,119,3.3011064529418945,242.7036355,,
,,1779558026.8326864,1150.0,120,3.321636199951172,244.1433471,,
,,1779558028.2739072,1160.0,121,3.2945361137390137,245.5832274,,
,,1779558029.713442,1170.0,122,3.2976460456848145,247.0241083,,
,,1779558031.1548185,1180.0,123,3.293877124786377,248.4647872,,
,,1779558032.6015615,1190.0,124,3.332188606262207,249.9120587,,
,,1779558034.0425656,1200.0,125,3.3176541328430176,251.3523906,,
,,1779558035.4784527,1210.0,126,3.327791213989258,252.7929236,,
,,1779558036.9206202,1220.0,127,3.2957324981689453,254.2303792,,
,,1779558038.3602319,1230.0,128,3.283980369567871,255.6700584,,
,,1779558039.8023047,1240.0,129,3.2998123168945312,257.1121294,,
3.319943904876709,0.000883125098683892,1779558058.0909493,1250.0,130,,275.4046907,3.3613550662994385,
,,1779558058.2362514,1250.0,131,3.298534393310547,275.5462417,,
,,1779558059.6091874,1260.0,132,3.3333420753479004,276.9190208,,
,,1779558060.9809916,1270.0,133,3.3128714561462402,278.2918199,,
,,1779558062.4033692,1280.0,134,3.326320171356201,279.7126892,,
,,1779558063.8433924,1290.0,135,3.279562473297119,281.153277,,
,,1779558065.2779112,1300.0,136,3.2887988090515137,282.5939123,,
,,1779558066.7237535,1310.0,137,3.315396308898926,284.0339616,,
,,1779558068.1646435,1320.0,138,3.2769503593444824,285.4755692,,
,,1779558069.6055968,1330.0,139,3.328420639038086,286.9154226,,
,,1779558071.0456371,1340.0,140,3.2720565795898438,288.3556176,,
,,1779558072.484997,1350.0,141,3.3176918029785156,289.7948245,,
,,1779558073.9246976,1360.0,142,3.2895078659057617,291.2340178,,
,,1779558075.362514,1370.0,143,3.315124988555908,292.6749897,,
,,1779558076.8041284,1380.0,144,3.308622360229492,294.1134487,,
,,1779558078.242002,1390.0,145,3.30145263671875,295.5547792,,
,,1779558079.6849287,1400.0,146,3.321793556213379,296.9951697,,
,,1779558081.1248398,1410.0,147,3.3129706382751465,298.434676,,
