_timestamp,Sample Generation,train/loss,train/step_loss,lr,_runtime,_step,val/loss,iter
1779601391.4518557,,,1.4800150394439697,,105.5441036,65,,620.0
1779601392.713672,,,1.4629411697387695,,106.8062596,66,,630.0
1779601393.9785206,,,1.4853019714355469,,108.0708543,67,,640.0
1779601395.2378507,,,1.4724411964416504,,109.3301956,68,,650.0
1779601396.5007524,,,1.4608478546142578,,110.5925754,69,,660.0
1779601397.9141898,,,1.459227442741394,,112.0060127,70,,670.0
1779601399.2687435,,,1.4600698947906494,,113.3611084,71,,680.0
1779601400.620809,,,1.4504987001419067,,114.7131371,72,,690.0
1779601401.9723246,,,1.4328458309173584,,116.0659615,73,,700.0
1779601403.3209653,,,1.4596964120864868,,117.4133113,74,,710.0
1779601404.5717616,,,1.4124984741210938,,118.6641981,75,,720.0
1779601405.880194,,,1.465645432472229,,119.9725417,76,,730.0
1779601407.2098787,,,1.456071376800537,,121.3017018,77,,740.0
1779601425.4217987,,1.3543494939804077,,0.0009614856803571157,139.5145558,78,1.5746939182281494,750.0
1779601425.554457,,,1.4279484748840332,,139.6526075,79,,750.0
1779601426.9937718,,,1.4160069227218628,,141.0860991,80,,760.0
1779601428.4845858,,,1.4026334285736084,,142.5808351,81,,770.0
1779601429.9834058,,,1.418789267539978,,144.0762062,82,,780.0
1779601431.4019456,,,1.4072892665863037,,145.4937686,83,,790.0
1779601432.7991621,,,1.409351110458374,,146.8913443,84,,800.0
1779601434.1930509,,,1.4399012327194214,,148.2854776,85,,810.0
1779601435.5869768,,,1.3550996780395508,,149.6787997,86,,820.0
1779601436.982869,,,1.3766382932662964,,151.0751129,87,,830.0
1779601438.3874724,,,1.3898733854293823,,152.479933,88,,840.0
1779601439.787521,,,1.3739783763885498,,153.8824828,89,,850.0
1779601441.194522,,,1.3674383163452148,,155.2868495,90,,860.0
1779601442.6887925,,,1.361460566520691,,156.7806154,91,,870.0
1779601444.1849747,,,1.3430200815200806,,158.2767976,92,,880.0
1779601445.6799133,,,1.3637146949768066,,159.7722396,93,,890.0
1779601447.1729002,,,1.3779022693634033,,161.2656697,94,,900.0
1779601448.6683369,,,1.3618943691253662,,162.7608586,95,,910.0
1779601450.163621,,,1.3551356792449951,,164.2554438,96,,920.0
1779601451.6532874,,,1.3598880767822266,,165.7502076,97,,930.0
1779601453.1515145,,,1.3251969814300537,,167.2437273,98,,940.0
1779601454.6462893,,,1.3470149040222168,,168.7381124,99,,950.0
