_timestamp,train/step_loss,val/loss,lr,_step,_runtime,train/loss,Sample Generation,iter
1779610700.6162121,1.4630928039550781,,,98,263.9503074,,,940.0
1779610702.5353625,1.4797672033309937,,,99,265.8702367,,,950.0
1779610704.4552114,1.4625959396362305,,,100,267.7926991,,,960.0
1779610706.3762164,1.4781510829925537,,,101,269.7108288,,,970.0
1779610708.2971194,1.4544076919555664,,,102,271.6316198,,,980.0
1779610710.2151349,1.4607676267623901,,,103,273.5523158,,,990.0
1779610734.1114233,,1.5729689598083496,0.0009271396472013282,104,297.4461149,1.3600534200668335,,1000.0
1779610734.3085773,1.4651272296905518,,,105,297.6433424,,,1000.0
1779610736.2322352,1.4538894891738892,,,106,299.5663306,,,1010.0
1779610738.1570082,1.4335678815841675,,,107,301.4916384,,,1020.0
1779610740.0823176,1.4884804487228394,,,108,303.417163,,,1030.0
1779610742.0057857,1.46860933303833,,,109,305.3404148,,,1040.0
1779610743.930943,1.4338637590408325,,,110,307.2655474,,,1050.0
1779610745.8573797,1.4512641429901123,,,111,309.1914748,,,1060.0
1779610747.7748554,1.4324283599853516,,,112,311.1122939,,,1070.0
1779610749.69905,1.464599847793579,,,113,313.0336506,,,1080.0
1779610751.619732,1.4411334991455078,,,114,314.9538273,,,1090.0
1779610753.5425804,1.4781465530395508,,,115,316.8770214,,,1100.0
1779610755.4672546,1.449995994567871,,,116,318.8023541,,,1110.0
1779610757.3963194,1.420248031616211,,,117,320.7309185,,,1120.0
1779610759.32257,1.435176134109497,,,118,322.6566653,,,1130.0
1779610761.2490542,1.4468958377838135,,,119,324.5839349,,,1140.0
1779610763.175333,1.4235944747924805,,,120,326.5110396,,,1150.0
1779610765.0990446,1.4506986141204834,,,121,328.4336795,,,1160.0
1779610767.024842,1.4155213832855225,,,122,330.3594441,,,1170.0
1779610768.9513357,1.4150903224945068,,,123,332.2861232,,,1180.0
1779610770.8810422,1.40739107131958,,,124,334.2151375,,,1190.0
1779610772.8081532,1.3998541831970215,,,125,336.1422484,,,1200.0
1779610774.7340825,1.3641564846038818,,,126,338.0681779,,,1210.0
1779610776.6552968,1.4168983697891235,,,127,339.989392,,,1220.0
1779610778.5827205,1.3977291584014893,,,128,341.9176022,,,1230.0
1779610780.513722,1.4218335151672363,,,129,343.8478171,,,1240.0
1779610804.2224324,,1.5421274900436401,0.000883125098683892,130,367.558133,1.2987358570098877,,1250.0
1779610804.4224112,1.400185465812683,,,131,367.7577711,,,1250.0
1779610806.350719,1.4035261869430542,,,132,369.6848143,,,1260.0
1779610808.271155,1.3940894603729248,,,133,371.6052506,,,1270.0
1779610810.208795,1.3980886936187744,,,134,373.5435631,,,1280.0
1779610812.1325119,1.3850247859954834,,,135,375.466607,,,1290.0
1779610814.058946,1.369720220565796,,,136,377.3938572,,,1300.0
1779610815.9859898,1.3921217918395996,,,137,379.3206707,,,1310.0
1779610817.9107106,1.3971829414367676,,,138,381.2458131,,,1320.0
1779610819.8385372,1.3884450197219849,,,139,383.1731806,,,1330.0
1779610821.7656953,1.386376142501831,,,140,385.0997905,,,1340.0
1779610823.6921399,1.410117506980896,,,141,387.0271441,,,1350.0
1779610825.6151488,1.390064001083374,,,142,388.949244,,,1360.0
1779610827.5391629,1.371943473815918,,,143,390.8738929,,,1370.0
1779610829.4615688,1.3708515167236328,,,144,392.795664,,,1380.0
1779610831.3887901,1.395728588104248,,,145,394.7236054,,,1390.0
1779610833.31857,1.3675172328948975,,,146,396.6531715,,,1400.0
1779610835.2422082,1.3732831478118896,,,147,398.5776848,,,1410.0
1779610837.1662526,1.3903602361679077,,,148,400.5008941,,,1420.0
1779610839.0976074,1.36573326587677,,,149,402.43221,,,1430.0
1779610841.0242193,1.382187008857727,,,150,404.3596264,,,1440.0
1779610842.95502,1.3715053796768188,,,151,406.2905794,,,1450.0
1779610844.8855324,1.354423999786377,,,152,408.2203855,,,1460.0
1779610846.814806,1.3615000247955322,,,153,410.1492224,,,1470.0
1779610848.730512,1.3872346878051758,,,154,412.0745288,,,1480.0
1779610850.6657803,1.3569097518920898,,,155,413.9998756,,,1490.0
1779610874.329974,,1.5210059881210327,0.0008305704108364302,156,437.6662437,1.2532148361206055,,1500.0
1779610874.5192754,1.3307727575302124,,,157,437.8533708,,,1500.0
1779610876.3425753,1.3752235174179077,,,158,439.6766707,,,1510.0
1779610878.1783614,1.3387227058410645,,,159,441.5127669,,,1520.0
1779610880.202991,1.3341387510299683,,,160,443.5376217,,,1530.0
1779610882.133588,1.376879096031189,,,161,445.4681874,,,1540.0
1779610884.0649703,1.348790168762207,,,162,447.3990656,,,1550.0
1779610885.9942615,1.3356492519378662,,,163,449.3288604,,,1560.0
1779610887.9248917,1.373979091644287,,,164,451.258987,,,1570.0
1779610889.8529315,1.3807990550994873,,,165,453.1875463,,,1580.0
1779610891.7765179,1.3124234676361084,,,166,455.1106132,,,1590.0
1779610893.6931822,1.3309547901153564,,,167,457.03344,,,1600.0
1779610895.6255908,1.2855080366134644,,,168,458.9601912,,,1610.0
1779610897.551023,1.3312610387802124,,,169,460.8858627,,,1620.0
1779610899.4799383,1.3357222080230713,,,170,462.8145388,,,1630.0
1779610901.4058971,1.330976128578186,,,171,464.7399925,,,1640.0
1779610903.3347304,1.342182993888855,,,172,466.6694287,,,1650.0
1779610905.2660556,1.2926411628723145,,,173,468.6001511,,,1660.0
1779610907.1903818,1.3302578926086426,,,174,470.5280433,,,1670.0
1779610909.1203763,1.3330038785934448,,,175,472.4544716,,,1680.0
1779610911.0467346,1.2836521863937378,,,176,474.3813356,,,1690.0
1779610912.9727886,1.3043813705444336,,,177,476.3068838,,,1700.0
1779610914.8961036,1.3029989004135132,,,178,478.2307056,,,1710.0
1779610916.8178158,1.3401954174041748,,,179,480.1524115,,,1720.0
1779610918.7454445,1.2705286741256714,,,180,482.0795398,,,1730.0
1779610920.672328,1.3005993366241455,,,181,484.0074186,,,1740.0
1779610944.6076305,,1.4896165132522583,0.0007708228984017721,182,507.9424179,1.2165433168411255,,1750.0
1779610944.7979171,1.3160443305969238,,,183,508.1325174,,,1750.0
1779610946.634981,1.3050310611724854,,,184,509.9696588,,,1760.0
1779610948.4751601,1.293271780014038,,,185,511.8092554,,,1770.0
1779610950.5056033,1.3020154237747192,,,186,513.840463,,,1780.0
1779610952.3911924,1.299329400062561,,,187,515.7257938,,,1790.0
1779610954.3586562,1.314782738685608,,,188,517.6935468,,,1800.0
1779610956.253517,1.2926077842712402,,,189,519.5876122,,,1810.0
1779610958.1492848,1.3059662580490112,,,190,521.4833801,,,1820.0
1779610960.043856,1.2879860401153564,,,191,523.3806368,,,1830.0
1779610961.9409962,1.2518184185028076,,,192,525.2784051,,,1840.0
1779610963.84571,1.314382791519165,,,193,527.1803116,,,1850.0
1779610965.7449348,1.329557180404663,,,194,529.0790302,,,1860.0
1779610967.6497328,1.3066761493682861,,,195,530.9838282,,,1870.0
1779610969.5456867,1.320981502532959,,,196,532.8803326,,,1880.0
1779610971.4506493,1.3008484840393066,,,197,534.7852496,,,1890.0
1779610973.3499763,1.2790019512176514,,,198,536.6840716,,,1900.0
1779610975.2514846,1.284031629562378,,,199,538.5862519,,,1910.0
