val/loss,_timestamp,train/step_loss,Sample Generation,lr,_step,train/loss,iter,_runtime
,1779607626.8520348,1.952426552772522,,,31,,290.0,108.9843253
,1779607629.016652,1.9250789880752563,,,32,,300.0,111.1489425
,1779607631.1793845,1.9205342531204224,,,33,,310.0,113.3122462
,1779607633.3429732,1.8482246398925781,,,34,,320.0,115.4756823
,1779607635.5123067,1.880260705947876,,,35,,330.0,117.6445972
,1779607637.6792185,1.8327200412750244,,,36,,340.0,119.8120712
,1779607639.8410726,1.794474720954895,,,37,,350.0,121.9733631
,1779607642.0077496,1.8218989372253418,,,38,,360.0,124.1405267
,1779607644.1758556,1.782050609588623,,,39,,370.0,126.3081461
,1779607646.3426642,1.746450424194336,,,40,,380.0,128.4752557
,1779607648.5062537,1.7160993814468384,,,41,,390.0,130.6395657
,1779607650.6703439,1.7297523021697998,,,42,,400.0,132.8059188
,1779607652.839284,1.7139382362365723,,,43,,410.0,134.9719144
,1779607655.0083442,1.698590874671936,,,44,,420.0,137.1412928
,1779607657.17424,1.6845093965530396,,,45,,430.0,139.3065306
,1779607659.3400521,1.6806774139404297,,,46,,440.0,141.4731084
,1779607661.5033233,1.6573045253753662,,,47,,450.0,143.6362635
,1779607663.6693203,1.6243634223937988,,,48,,460.0,145.8022686
,1779607665.8335907,1.6223852634429932,,,49,,470.0,147.9696898
,1779607668.0021484,1.6168121099472046,,,50,,480.0,150.1349922
,1779607670.171726,1.6064200401306152,,,51,,490.0,152.3045199
1.724039912223816,1779607697.059905,,,0.0009852826883675631,52,1.5290484428405762,500.0,179.1928041
,1779607697.262771,1.599875569343567,,,53,,500.0,179.3953628
,1779607699.370013,1.6134872436523438,,,54,,510.0,181.5027458
,1779607701.4141161,1.5503703355789185,,,55,,520.0,183.5515195
,1779607703.5875611,1.5268847942352295,,,56,,530.0,185.7203568
,1779607705.6979682,1.54439377784729,,,57,,540.0,187.8309928
,1779607707.7805276,1.5336053371429443,,,58,,550.0,189.9133252
,1779607709.9560475,1.5221476554870605,,,59,,560.0,192.088338
,1779607712.208822,1.5313646793365479,,,60,,570.0,194.3411126
,1779607714.4061642,1.5342791080474854,,,61,,580.0,196.5390834
,1779607716.545033,1.5318220853805542,,,62,,590.0,198.6778274
,1779607718.686026,1.498501181602478,,,63,,600.0,200.8187812
,1779607720.8209443,1.5296730995178223,,,64,,610.0,202.9537392
,1779607722.959639,1.4816302061080933,,,65,,620.0,205.0924333
,1779607725.0973206,1.4694559574127197,,,66,,630.0,207.229611
,1779607727.2361631,1.488480567932129,,,67,,640.0,209.3700013
,1779607729.374414,1.4776538610458374,,,68,,650.0,211.5072148
,1779607731.5057998,1.4689197540283203,,,69,,660.0,213.6380902
,1779607733.6392703,1.461756944656372,,,70,,670.0,215.7722121
,1779607735.777311,1.4607619047164917,,,71,,680.0,217.9103397
,1779607737.9108596,1.4573532342910767,,,72,,690.0,220.0436532
,1779607740.047175,1.44429349899292,,,73,,700.0,222.1799896
,1779607742.1854064,1.4647883176803589,,,74,,710.0,224.3182292
,1779607744.319861,1.4154472351074219,,,75,,720.0,226.453634
