_timestamp,train/step_loss,Sample Generation,lr,_step,iter,_runtime,val/loss,train/loss
1779603971.8005066,1.3928639888763428,,,70,670.0,198.3044421,,
1779603973.7672284,1.3356727361679077,,,71,680.0,200.2702952,,
1779603975.7310739,1.3764665126800537,,,72,690.0,202.2341405,,
1779603977.6985564,1.342211365699768,,,73,700.0,204.2021293,,
1779603979.531846,1.349660873413086,,,74,710.0,206.0349129,,
1779603981.3835301,1.342432975769043,,,75,720.0,207.8871222,,
1779603983.309775,1.3618824481964111,,,76,730.0,209.8185638,,
1779603985.2461627,1.3423123359680176,,,77,740.0,211.7497337,,
1779604010.752038,,,0.0009614856803571157,78,750.0,237.2556102,1.5213295221328735,1.2551065683364868
1779604010.9314294,1.3178846836090088,,,79,750.0,237.4350004,,
1779604012.8230174,1.2986384630203247,,,80,760.0,239.326588,,
1779604014.6545296,1.3205585479736328,,,81,770.0,241.15912,,
1779604016.4911704,1.3358747959136963,,,82,780.0,242.9947408,,
1779604018.3261483,1.3192358016967773,,,83,790.0,244.8292151,,
1779604020.2841184,1.3139430284500122,,,84,800.0,246.7871853,,
1779604022.127658,1.2747581005096436,,,85,810.0,248.6321971,,
1779604024.1061957,1.323122501373291,,,86,820.0,250.6102295,,
1779604026.0037851,1.300369381904602,,,87,830.0,252.5077763,,
1779604027.90737,1.31844961643219,,,88,840.0,254.4109413,,
1779604029.8069599,1.3132619857788086,,,89,850.0,256.3105324,,
1779604031.7058618,1.2998437881469727,,,90,860.0,258.2094321,,
1779604033.6011467,1.2725661993026733,,,91,870.0,260.1048943,,
1779604035.5036128,1.3217192888259888,,,92,880.0,262.0071404,,
1779604037.4039006,1.2903238534927368,,,93,890.0,263.9076921,,
1779604039.303801,1.289610505104065,,,94,900.0,265.8072523,,
1779604041.2036133,1.2738029956817627,,,95,910.0,267.70668,,
1779604043.1038797,1.2450807094573975,,,96,920.0,269.6073789,,
1779604045.004406,1.286405324935913,,,97,930.0,271.5074727,,
1779604046.9069662,1.26611328125,,,98,940.0,273.4100331,,
1779604048.8112946,1.2528902292251587,,,99,950.0,275.3148921,,
1779604050.7116756,1.2406597137451172,,,100,960.0,277.215753,,
1779604052.6133952,1.2770318984985352,,,101,970.0,279.1174403,,
1779604054.517541,1.261316180229187,,,102,980.0,281.0213902,,
1779604056.4197538,1.281592845916748,,,103,990.0,282.9235036,,
1779604082.3853986,,,0.0009271396472013282,104,1000.0,308.8884653,1.4732998609542847,1.1836715936660767
1779604082.567217,1.2496663331985474,,,105,1000.0,309.0708304,,
1779604084.466597,1.2185953855514526,,,106,1010.0,310.969664,,
1779604086.424923,1.247786045074463,,,107,1020.0,312.9279897,,
1779604088.3838494,1.2758398056030273,,,108,1030.0,314.8869163,,
1779604090.3402002,1.2149131298065186,,,109,1040.0,316.843267,,
1779604092.2978733,1.245422601699829,,,110,1050.0,318.8014462,,
1779604094.2557461,1.248668909072876,,,111,1060.0,320.7593185,,
1779604096.2076328,1.2186963558197021,,,112,1070.0,322.7106998,,
1779604098.1641834,1.2287571430206299,,,113,1080.0,324.6682512,,
1779604100.1211832,1.2137775421142578,,,114,1090.0,326.6247563,,
1779604102.0842757,1.257066249847412,,,115,1100.0,328.5873426,,
1779604104.040539,1.2253057956695557,,,116,1110.0,330.5448713,,
1779604106.0013263,1.227583885192871,,,117,1120.0,332.5054049,,
1779604107.9555476,1.208146572113037,,,118,1130.0,334.464537,,
1779604109.9225981,1.2077995538711548,,,119,1140.0,336.4256649,,
1779604111.8798838,1.2433273792266846,,,120,1150.0,338.3834548,,
1779604113.838189,1.2178021669387817,,,121,1160.0,340.3412555,,
1779604115.7933884,1.2234644889831543,,,122,1170.0,342.2974113,,
1779604117.7515287,1.2306517362594604,,,123,1180.0,344.2551001,,
1779604119.7030945,1.2092396020889282,,,124,1190.0,346.2061613,,
1779604121.6613965,1.2415921688079834,,,125,1200.0,348.1644633,,
1779604123.6194346,1.221632957458496,,,126,1210.0,350.1230788,,
1779604125.5733924,1.1929512023925781,,,127,1220.0,352.0829617,,
1779604127.5352986,1.1889445781707764,,,128,1230.0,354.0390975,,
1779604129.4897006,1.1828551292419434,,,129,1240.0,355.9937587,,
1779604154.666661,,,0.000883125098683892,130,1250.0,381.170728,1.4648517370224,1.1271132230758667
1779604154.85162,1.215499758720398,,,131,1250.0,381.3572814,,
1779604156.6827588,1.2013031244277954,,,132,1260.0,383.1863299,,
1779604158.6452153,1.1796740293502808,,,133,1270.0,385.148282,,
1779604160.5711813,1.1829707622528076,,,134,1280.0,387.0747971,,
1779604162.4118438,1.1990158557891846,,,135,1290.0,388.9149107,,
1779604164.3083088,1.2073233127593994,,,136,1300.0,390.8120851,,
1779604166.233647,1.1997523307800293,,,137,1310.0,392.7421257,,
1779604168.1446354,1.1956826448440552,,,138,1320.0,394.6483146,,
1779604170.0512137,1.1689767837524414,,,139,1330.0,396.559166,,
1779604171.962193,1.1712312698364258,,,140,1340.0,398.4652598,,
1779604173.8676534,1.1473476886749268,,,141,1350.0,400.3712348,,
1779604175.7783983,1.1784429550170898,,,142,1360.0,402.2819343,,
1779604177.6908135,1.193508505821228,,,143,1370.0,404.1942102,,
1779604179.5990045,1.1769720315933228,,,144,1380.0,406.1026816,,
1779604181.5074878,1.1972944736480713,,,145,1390.0,408.011577,,
1779604183.4148862,1.16704261302948,,,146,1400.0,409.9192482,,
1779604185.3240755,1.1677782535552979,,,147,1410.0,411.8278065,,
1779604187.2271812,1.1659575700759888,,,148,1420.0,413.7343652,,
1779604189.1362004,1.1637184619903564,,,149,1430.0,415.6400366,,
1779604191.0450711,1.153220295906067,,,150,1440.0,417.5491562,,
1779604192.9508584,1.14280366897583,,,151,1450.0,419.4551835,,
1779604194.8617268,1.181418538093567,,,152,1460.0,421.3647934,,
1779604196.77246,1.1730998754501343,,,153,1470.0,423.2773629,,
1779604198.683847,1.1810861825942993,,,154,1480.0,425.1869137,,
1779604200.5913358,1.162697672843933,,,155,1490.0,427.095017,,
1779604226.5712652,,,0.0008305704108364302,156,1500.0,453.0752279,1.4781098365783691,1.074282169342041
1779604226.7656136,1.1594078540802002,,,157,1500.0,453.269239,,
1779604228.6413586,1.195798635482788,,,158,1510.0,455.1448929,,
1779604230.5166328,1.1324641704559326,,,159,1520.0,457.0202378,,
