val/loss,_timestamp,train/step_loss,train/loss,Sample Generation,lr,iter,_step,_runtime
,1779545474.0592046,1.1410040855407715,,,,1750.0,183,478.2189401
,1779545475.6984482,1.139496088027954,,,,1760.0,184,479.8586937
,1779545477.453548,1.0972988605499268,,,,1770.0,185,481.6139815
,1779545479.0932696,1.1115148067474365,,,,1780.0,186,483.253005
,1779545480.7325413,1.105712652206421,,,,1790.0,187,484.8937192
,1779545482.4978745,1.1032662391662598,,,,1800.0,188,486.6579192
,1779545484.1399112,1.1141804456710815,,,,1810.0,189,488.3001537
,1779545485.8211136,1.1265652179718018,,,,1820.0,190,489.9808489
,1779545487.5688605,1.0754085779190063,,,,1830.0,191,491.7291147
,1779545489.3688705,1.0713016986846924,,,,1840.0,192,493.5293897
,1779545491.0963862,1.1077818870544434,,,,1850.0,193,495.2561217
,1779545492.8234637,1.1169168949127197,,,,1860.0,194,496.9837099
,1779545494.5530548,1.0569651126861572,,,,1870.0,195,498.7138331
,1779545496.2813492,1.111764669418335,,,,1880.0,196,500.4415879
,1779545498.0096238,1.0753648281097412,,,,1890.0,197,502.169807
,1779545499.7319937,1.1016950607299805,,,,1900.0,198,503.8965663
,1779545501.4633803,1.099368691444397,,,,1910.0,199,505.6239302
,1779545503.189115,1.0913368463516235,,,,1920.0,200,507.3488505
,1779545504.915496,1.0783580541610718,,,,1930.0,201,509.0760412
,1779545506.6346962,1.0745253562927246,,,,1940.0,202,510.8002154
,1779545508.365597,1.1046944856643677,,,,1950.0,203,512.5258703
,1779545510.091064,1.0615376234054565,,,,1960.0,204,514.2513038
,1779545511.8168643,1.088313341140747,,,,1970.0,205,515.9771169
,1779545513.5468566,1.1035566329956055,,,,1980.0,206,517.7071951
,1779545515.271381,1.0825273990631104,,,,1990.0,207,519.4311165
1.5066713094711304,1779545538.1375837,,0.9728773236274719,,0.0007054142744895884,2000.0,208,542.2978261
,1779545538.3068917,1.0907703638076782,,,,2000.0,209,542.4666272
,1779545539.999537,1.0869762897491455,,,,2010.0,210,544.160269
,1779545541.7733085,1.0728968381881714,,,,2020.0,211,545.9339127
,1779545543.4946725,1.0913300514221191,,,,2030.0,212,547.6559185
,1779545545.2186754,1.0444042682647705,,,,2040.0,213,549.3787995
,1779545546.9432821,1.0701212882995605,,,,2050.0,214,551.1044896
,1779545548.6679358,1.066314935684204,,,,2060.0,215,552.8276711
,1779545550.3939712,1.0613493919372559,,,,2070.0,216,554.5542111
,1779545552.117558,1.0702598094940186,,,,2080.0,217,556.2778425
,1779545553.8460886,1.0586825609207153,,,,2090.0,218,558.0070046
