val/loss,_timestamp,train/step_loss,_runtime,lr,iter,_step,train/loss,Sample Generation
,1779551999.3796916,1.9339345693588257,85.7211821,,310.0,33,,
,1779552000.9501233,1.9275985956192017,87.2922132,,320.0,34,,
,1779552002.5192678,1.8794243335723877,88.8619395,,330.0,35,,
,1779552004.0898046,1.8365583419799805,90.4334205,,340.0,36,,
,1779552005.6623452,1.8776614665985107,92.0038359,,350.0,37,,
,1779552007.2322388,1.816946268081665,93.5742368,,360.0,38,,
,1779552008.804262,1.7850093841552734,95.1462574,,370.0,39,,
,1779552010.3748856,1.765162467956543,96.7163762,,380.0,40,,
,1779552011.9453137,1.7649242877960205,98.2877136,,390.0,41,,
,1779552013.516456,1.7879571914672852,99.8579465,,400.0,42,,
,1779552015.0826907,1.7222836017608643,101.4288827,,410.0,43,,
,1779552016.6556325,1.738762617111206,102.9980384,,420.0,44,,
,1779552018.2263787,1.7121202945709229,104.5683739,,430.0,45,,
,1779552019.7964706,1.6770861148834229,106.1379612,,440.0,46,,
,1779552021.3667693,1.6655521392822266,107.70826,,450.0,47,,
,1779552022.936961,1.6078150272369385,109.2790999,,460.0,48,,
,1779552024.5079846,1.6714563369750977,110.8498191,,470.0,49,,
,1779552026.0777006,1.6356732845306396,112.4191913,,480.0,50,,
,1779552027.647992,1.609754204750061,113.98999,,490.0,51,,
1.748712420463562,1779552048.185135,,134.5332784,0.0009852826883675631,500.0,52,1.5415904521942139,
,1779552048.3529298,1.5839781761169434,134.6944203,,500.0,53,,
,1779552049.9221828,1.611398458480835,136.2641927,,510.0,54,,
,1779552051.4919105,1.5950796604156494,137.833401,,520.0,55,,
,1779552053.061881,1.5705785751342773,139.403973,,530.0,56,,
,1779552054.6323855,1.6182950735092163,140.9738761,,540.0,57,,
,1779552056.2021785,1.5626916885375977,142.544478,,550.0,58,,
,1779552057.7738836,1.5637747049331665,144.1158813,,560.0,59,,
,1779552059.3439746,1.5593276023864746,145.6859709,,570.0,60,,
,1779552060.9147437,1.5344446897506714,147.2562342,,580.0,61,,
,1779552062.484869,1.499237060546875,148.8270235,,590.0,62,,
,1779552064.054746,1.51395583152771,150.3970317,,600.0,63,,
,1779552065.6245189,1.5419608354568481,151.9675247,,610.0,64,,
,1779552067.1963134,1.5179572105407715,153.5381697,,620.0,65,,
,1779552068.7664773,1.4974137544631958,155.108534,,630.0,66,,
,1779552070.3366108,1.4484246969223022,156.6798665,,640.0,67,,
,1779552071.9083867,1.496472716331482,158.2498773,,650.0,68,,
,1779552073.4777792,1.494468331336975,159.8201824,,660.0,69,,
,1779552075.046276,1.4382380247116089,161.3905275,,670.0,70,,
,1779552076.6153014,1.5007601976394653,162.9612349,,680.0,71,,
,1779552078.1905193,1.4509477615356445,164.5325161,,690.0,72,,
,1779552079.7614841,1.468173861503601,166.1034806,,700.0,73,,
,1779552081.331254,1.4444141387939453,167.6739958,,710.0,74,,
,1779552082.90167,1.4284071922302246,169.2431604,,720.0,75,,
,1779552084.4717367,1.4118707180023193,170.8132271,,730.0,76,,
